Date,Daily Returns for Mr X's Portfolio,Daily Returns for the S&P500,Daily Returns for Hasbro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2014,-0.001698576,-0.000544066,0.000189851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2014,0.00181098,-0.000779141,0.011201831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2014,-0.001787297,-0.001534421,0.01107774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2014,0.004567543,0.005035886,0.003156959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2014,-0.00471556,-0.003073114,-0.000370256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2014,-0.006028059,-0.006545009,-0.006111126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2014,0.003133458,0.003646074,0.000931657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2014,0.000959425,0.000881906,0.003164522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2014,-0.004715751,-0.005962558,-0.004082394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2014,0.002653111,-0.000710151,-0.002422168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2014,0.007393596,0.007484376,-0.001867801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2014,0.001891437,0.001295644,0.006175184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2014,0.00531427,0.00489118,0.002603671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/2014,-0.000142923,-0.00047727,0.003895354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2014,-0.006916187,-0.008013323,-0.013118968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2014,-0.006733981,-0.005776501,-0.008799873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2014,0.007814438,0.007832491,0.037967541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2014,-0.014678758,-0.016168773,-0.00545949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2014,0.007863422,0.008575825,0.012442832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/2014,-0.003539755,-0.002546802,-0.005060597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/2014,-0.002988,-0.002785929,-0.000908247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
